file,problem_timestamps
25_14,22802230_22805870
25_15,
25_16,
25_17,4057730_4059220
25_10,
25_11,
25_12,
25_13,
14_12,
38_09,
38_08,21187760_21188330
38_07,
38_06,
02_06,1926820_1935100 -- 2260570_2261530
02_07,
45_07,
45_06,29387230_29387370
45_09,
45_08,
06_06,15550880_15551480 -- 13808080_13809110 -- 6938060_6939370 -- 15541670_15550880 -- 6939370_6940260 -- 15848550_15850070 -- 13809110_13837050 -- 15850070_15851670
06_07,39359290_39597010 -- 49912700_49913350 -- 31540470_31541840 -- 20176650_20177880 -- 32139910_32140910 -- 1868160_1868410 -- 32566150_32569460 -- 47127100_48637900 -- 42573280_42574280 -- 38629210_39076810 -- 31541840_32139910 -- 40024060_40024860 -- 32266100_32266900 -- 40412160_40412990 -- 30619960_30889880 -- 29002700_29003830 -- 29462520_29463520 -- 32565030_32566150 -- 30889880_30891140 -- 5792510_5792600 -- 42571670_42573280 -- 40023260_40024060 -- 20177880_20179130 -- 12974620_12979860 -- 32265100_32266100 -- 12979860_12982730 -- 39076810_39086260 -- 39597010_39598230 -- 48637900_48639490 -- 5792280_5792510 -- 28738160_29002700 -- 29463520_29464910 -- 49161200_49912700 -- 40412990_40413790
06_08,35099870_35100670
06_09,9614950_9615270
27_12,
27_13,
27_10,
27_11,
27_16,
27_17,
27_14,6168220_6170570 -- 15904010_15905010 -- 369730_370750 -- 6456190_6457000
27_15,
04_08,
04_09,
04_06,23583410_23584240 -- 22858910_22859910 -- 41241660_41242430 -- 42220750_42223070 -- 41732700_41733500 -- 3450270_3451820 -- 23584240_25113660 -- 31690010_31691890 -- 31826670_31829170 -- 12555140_12557170 -- 22859910_22860960 -- 41240720_41241660 -- 42690530_42691430 -- 31829170_31829990 -- 23096510_23098160 -- 25698560_25700870 -- 31691890_31693330 -- 42223070_42223720 -- 3451820_3452670 -- 23098160_23099160 -- 25697490_25698560 -- 12557170_12559640 -- 41733500_41734690
04_07,
36_12,
35_15,
35_14,
35_17,
11_07,25968270_25969320 -- 25747070_25749270 -- 28578200_28578620 -- 26711170_26712320 -- 22455190_22457680 -- 22432470_22433270 -- 27962400_27963720
35_11,
39_07,30036430_30036760 -- 5086980_5087530 -- 34019730_34020110 -- 4630480_4631160 -- 30208600_30209160 -- 28048030_28048470 -- 32862770_32863170 -- 5471220_5471660 -- 30298840_30299200 -- 97030_97450 -- 35852540_35852910 -- 6072560_6072870 -- 29680920_29681410 -- 29585370_29585680 -- 35926350_35926690 -- 30462890_30463350 -- 15833760_15834220 -- 23429680_23430110 -- 22748460_22748780 -- 33997990_33998390 -- 33953010_33953430 -- 34029420_34029720 -- 25034990_25035320 -- 30148250_30148850 -- 22403010_22403250 -- 34007770_34008100 -- 29913270_29913610 -- 21250830_21251140 -- 30105060_30105770 -- 5864340_5864670 -- 30612230_30612630 -- 21718270_21718590 -- 787110_787630 -- 778780_779250 -- 5428290_5428720 -- 20888830_20889210 -- 191620_192070 -- 31828670_31829100 -- 8859840_8860170 -- 31830480_31830890 -- 29709610_29710100 -- 29481360_29481700 -- 15763440_15763860 -- 3887480_3889770 -- 21986920_21987380 -- 24879290_24879650 -- 5683770_5684100 -- 33996720_33997030 -- 37103070_37103830 -- 35459140_35459780 -- 9791500_9791920 -- 30299500_30299860 -- 22341820_22342150 -- 1886950_1887320 -- 190740_191160 -- 29656410_29656780 -- 30708140_30708590 -- 29662920_29663410 -- 5025620_5025930 -- 30830600_30830970 -- 2065650_2066340 -- 1790080_1790440 -- 22925060_22925770 -- 31034330_31034660 -- 29480730_29481100 -- 24665720_24666380 -- 33997280_33997690 -- 32600030_32600740 -- 31831200_31831590 -- 33948260_33948600 -- 2451720_2452190 -- 30999560_31000080 -- 4841460_4842030 -- 5427470_5427910 -- 30300170_30300550 -- 15112360_15112710 -- 30943750_30944270 -- 20218800_20219130 -- 31081480_31081880 -- 24166560_24166890 -- 3496310_3496990 -- 22105020_22105690 -- 33998690_33999130
35_13,26674600_26675040 -- 2627360_2629830 -- 2629830_2632160
35_12,39494750_39495600
39_08,
39_09,4637490_4638290
16_07,
16_06,
19_08,
19_09,2412940_2415180
19_06,
19_07,
15_17,38593860_38594660 -- 38590840_38593860
15_16,39157080_39158300
15_15,
15_14,
15_13,
15_12,
15_11,42643080_42643580 -- 41492810_41493170 -- 42687890_42688400 -- 13065500_13065820 -- 15695640_15696180 -- 19030860_19031300 -- 3672400_3672830 -- 32219020_32219620 -- 6316230_6316780 -- 39151590_39151980 -- 34352730_34353400 -- 32381880_32382270 -- 17883930_17884250 -- 17986260_17986550 -- 20106880_20107730 -- 32618330_32618550 -- 20048730_20049160 -- 11999140_11999640 -- 41482430_41482850 -- 37850290_37850680 -- 18359190_18360020 -- 6416600_6417110 -- 5247900_5248240 -- 32193230_32194660 -- 20683350_20683940 -- 6250040_6250360 -- 19412740_19413390 -- 32186860_32187460 -- 19611620_19612140 -- 43326090_43326390 -- 43637720_43638630 -- 11156300_11156690 -- 16535800_16536240 -- 38794520_38794850 -- 38531090_38531530 -- 21066910_21067660 -- 13283970_13284320 -- 32504490_32505330 -- 43441680_43442070 -- 19231230_19232080 -- 2937560_2937890 -- 16899770_16900240 -- 13365940_13366330 -- 40290610_40291080 -- 15558130_15558840 -- 15183040_15183590 -- 34341530_34341890 -- 16252660_16253250 -- 18661680_18662010 -- 33019510_33019930 -- 13046710_13047530 -- 21047730_21048140 -- 231620_232040 -- 32408460_32408510 -- 17868100_17868870 -- 4501110_4501430 -- 11642580_11643290 -- 10392240_10392460 -- 13373560_13373920 -- 39182780_39183100 -- 39150350_39150730 -- 295760_296290 -- 16048220_16048950 -- 12732740_12733190 -- 43636700_43637470 -- 16508490_16509010 -- 33067360_33067870 -- 14321080_14321470 -- 5980000_5980440 -- 16383330_16383780 -- 39901640_39902190 -- 2215520_2215820 -- 17477420_17477760 -- 5739560_5740110 -- 32572610_32572780 -- 39308770_39309270 -- 18820120_18820550 -- 15501260_15501680 -- 10382130_10382630 -- 18849110_18849750 -- 38659580_38660190 -- 5094990_5095300 -- 34587080_34587550 -- 43326830_43327280 -- 38052120_38052530 -- 39363230_39363760 -- 38162130_38162560 -- 4502230_4502680 -- 38913890_38914400 -- 39154340_39154930 -- 20569840_20570140 -- 17841590_17842000 -- 20570670_20570870 -- 3475260_3475590 -- 39185240_39185650 -- 40016060_40016530 -- 233580_233990 -- 10323470_10323800 -- 16074410_16074730 -- 19840670_19841270 -- 39369060_39369460 -- 34001970_34002740 -- 39644520_39644970 -- 6287600_6287880 -- 3385630_3385870 -- 678000_678310 -- 40098960_40099270 -- 38912210_38912760 -- 40045220_40045830 -- 11973120_11973770 -- 44237790_44238310 -- 44573310_44573740 -- 38446480_38447160 -- 32411690_32412120 -- 32428430_32428800 -- 40909260_40909850 -- 43574350_43574670 -- 19586520_19587110 -- 42151870_42152220 -- 18326090_18326450 -- 10322410_10322810 -- 13375500_13375950 -- 37840550_37840930 -- 33364390_33364700 -- 40082650_40083200 -- 20048090_20048610 -- 43361350_43361760 -- 45111040_45111470 -- 39359820_39360310 -- 17271490_17271930 -- 10315870_10316500 -- 44465140_44465460 -- 13018290_13018720 -- 42303790_42304200 -- 10430760_10431040 -- 39943320_39943980 -- 21049750_21050110 -- 18818250_18818930 -- 40095490_40095890 -- 42886360_42887030 -- 6140970_6141220 -- 43675340_43676270 -- 12742040_12742470 -- 43468340_43469090 -- 39364280_39364770 -- 39637090_39637760 -- 16141970_16142640 -- 6106510_6106920 -- 39136010_39136420 -- 12744070_12744460 -- 42805770_42806210 -- 39090500_39090920 -- 13063370_13064020 -- 39184100_39184450 -- 41483390_41483690 -- 5266480_5266840 -- 37874840_37875600 -- 10438870_10439120 -- 46292820_46293120 -- 42591900_42592270 -- 1293310_1293530 -- 32218200_32218820 -- 186780_187200 -- 2067940_2068600 -- 19247890_19248680 -- 14311160_14311620 -- 42213740_42214200 -- 39187570_39188020 -- 4504220_4504540 -- 4871710_4872130 -- 39544550_39545050 -- 43625530_43626290 -- 19612910_19613500 -- 32190340_32190690 -- 40032120_40032430 -- 39648480_39648980 -- 498440_498620 -- 10411770_10412240 -- 38326790_38327110 -- 17284080_17284610 -- 12467730_12468070 -- 21852140_21852580 -- 17767790_17768430 -- 4690600_4691140 -- 20049280_20049600 -- 37834810_37835200 -- 11888690_11889060 -- 42040800_42041240 -- 18372020_18372570 -- 6281650_6281840 -- 98020_98570 -- 35013320_35013700 -- 18370250_18370800 -- 15804810_15805360 -- 43627200_43627720 -- 15693500_15693850 -- 13270310_13270720 -- 14341010_14341340 -- 6317670_6318300 -- 21514360_21514720 -- 20304900_20305220 -- 38279770_38280110 -- 18397520_18398240 -- 38212620_38212960 -- 34057170_34057480 -- 1179750_1180100 -- 16145830_16146190 -- 19607630_19608150 -- 32346820_32347220 -- 74220_74690 -- 13467040_13467350 -- 18599890_18600260 -- 39131300_39131780 -- 13916340_13916930 -- 6039670_6040000 -- 5153920_5154530 -- 42888060_42888710 -- 12739980_12740410 -- 15222870_15223730 -- 42043910_42044360 -- 38221320_38221720 -- 389340_389710 -- 40038170_40038500 -- 39634130_39634850 -- 40040470_40040850 -- 6292890_6293130 -- 38507220_38507710 -- 33731800_33731990 -- 32415430_32416030 -- 21939030_21939430 -- 32426390_32426740 -- 16238410_16238720 -- 15180220_15180940 -- 34353690_34354070 -- 262530_263130 -- 903120_903430 -- 18327840_18328330 -- 39684040_39684540 -- 38199330_38199780 -- 13374310_13374780 -- 16768930_16769440 -- 15566980_15567450 -- 39635990_39636470 -- 13439670_13440020 -- 5634220_5634530 -- 11993740_11994160 -- 38715650_38716500 -- 3346150_3346680 -- 32423880_32424190 -- 42891620_42892950 -- 21891600_21892320 -- 40093110_40093650 -- 42566080_42566500 -- 18308760_18309350 -- 39047500_39047850 -- 19435970_19436490 -- 39186370_39186860 -- 13919760_13920370 -- 14582690_14583310 -- 40110620_40111180 -- 39370030_39370610 -- 43212910_43213340 -- 33061800_33062560 -- 2878190_2878560 -- 39367940_39368340 -- 42041980_42042410 -- 16147220_16147920 -- 10436380_10436730 -- 39155770_39156080 -- 40083990_40084530 -- 40909930_40910370 -- 40011850_40012700 -- 1272450_1272770 -- 293750_294140 -- 1042670_1043320 -- 38174070_38174700 -- 15508160_15509360 -- 43624560_43625210 -- 17517760_17518250 -- 11068690_11069090 -- 12227800_12228180 -- 33722110_33722410 -- 40097860_40098220 -- 14541820_14542150 -- 5093770_5094090 -- 14435570_14435870 -- 32191310_32191680 -- 15181680_15182140 -- 11677120_11677450 -- 4691800_4692480 -- 11677920_11678290 -- 41054710_41055070 -- 12569030_12569600 -- 4907760_4908000 -- 15029790_15030110 -- 21901800_21902190 -- 11676420_11676750 -- 34355500_34356110 -- 43157970_43158460 -- 6033640_6033890 -- 40005610_40006330 -- 33357390_33357790 -- 4905860_4906000 -- 32192270_32192810 -- 39008100_39008440 -- 38449170_38449530 -- 43651260_43651590 -- 18406790_18407480 -- 32350150_32350540 -- 17525040_17525650 -- 19448690_19449440 -- 32783250_32783670 -- 6152550_6152940 -- 16418290_16418670 -- 1240000_1240730 -- 16027730_16028120 -- 38662830_38663490 -- 6191540_6192190 -- 11990930_11991420 -- 21031190_21031530 -- 10374810_10375230 -- 35027810_35028150 -- 12043690_12044210 -- 16513190_16513400 -- 46248160_46248580 -- 32195840_32196340 -- 12243920_12244350 -- 20046550_20047080 -- 15963270_15963750 -- 39685630_39686270 -- 42212900_42213590 -- 15956880_15957110 -- 19190750_19191140 -- 14193220_14193860 -- 38675200_38675840 -- 415120_415430 -- 115160_115610 -- 38445670_38446330 -- 12958330_12958780 -- 13472700_13473060 -- 13271710_13272140 -- 32459420_32459750 -- 39540740_39541070 -- 19142060_19142570 -- 39373880_39374410 -- 16024540_16024900 -- 18847910_18848290 -- 40085060_40085810 -- 33817510_33818160 -- 38972180_38973090 -- 15561180_15561500 -- 18002370_18002690 -- 39647060_39647520 -- 16242980_16243340 -- 42571380_42571750 -- 40599870_40600450 -- 18700740_18701040 -- 40094690_40095120 -- 19717280_19717810 -- 39039550_39040350 -- 37855540_37856050 -- 39366890_39367280 -- 10321730_10322080 -- 32535440_32535810 -- 11892570_11893390 -- 12369040_12369600 -- 10423450_10423710 -- 4988000_4988310 -- 40112340_40113070 -- 13920980_13921480 -- 5699450_5699790 -- 6263060_6263380 -- 5590560_5591790 -- 39108680_39109080 -- 35601630_35601940 -- 2662140_2662470 -- 44583490_44583800 -- 33682930_33683510 -- 32421020_32421760
