file,problem_timestamps
25_14,
25_15,
25_16,
25_17,
25_10,
25_11,
25_12,
25_13,20400000_20400430
14_12,
38_09,
38_08,
38_07,
38_06,
02_06,1926820_1932388 -- 2260570_2260800
02_07,
45_07,
45_06,
45_09,
45_08,
06_06,13808080_13808990 -- 15848550_15848770 -- 6938060_6939040 -- 6939040_6940260 -- 15541670_15542990 -- 15848770_15851670 -- 15542990_15551480 -- 13808990_13837050
06_07,32134142_32140910 -- 28987512_29003830 -- 31541020_32134142 -- 40412160_40412350 -- 5792280_5792490 -- 40023820_40024860 -- 49194920_49913350 -- 42571710_42574280 -- 31540470_31541020 -- 30871034_30891140 -- 39359290_39593634 -- 12974620_12974690 -- 48629137_48639490 -- 38834761_39086260 -- 29462720_29464910 -- 32565330_32569460 -- 20177370_20179130 -- 40412350_40413790 -- 20176650_20177370 -- 28738160_28987512 -- 32565030_32565330 -- 30619960_30871034 -- 42571670_42571710 -- 39593634_39598230 -- 12974690_12982730 -- 5792490_5792600 -- 47127100_48629137 -- 38629210_38834761 -- 49161200_49194920 -- 32265100_32265530 -- 32265530_32266900 -- 29462520_29462720 -- 40023260_40023820
06_08,
06_09,
27_12,
27_13,
27_10,
27_11,
27_16,
27_17,
27_14,6168195_6170570 -- 6456165_6457000 -- 15903985_15905010
27_15,
04_08,
04_09,18900000_18901180 -- 33000000_33003990
04_06,22858910_22859056 -- 31690920_31693330 -- 42220750_42221610 -- 25697850_25700870 -- 12555140_12556904 -- 31690010_31690920 -- 3451400_3452670 -- 42690530_42691570 -- 12556904_12559640 -- 25697490_25697850 -- 41732968_41734690 -- 23097430_23099160 -- 23583410_23583630 -- 42221610_42223720 -- 3450270_3451400 -- 31828880_31829990 -- 22859056_22860960 -- 23096510_23097430 -- 41241180_41242430 -- 41732700_41732968 -- 23583630_25113660 -- 31826670_31828880 -- 41240720_41241180
04_07,
36_12,
35_15,
35_14,
35_17,
11_07,
35_11,
