file,problem_timestamps
25_14,
25_15,
25_16,
25_17,
25_10,
25_11,
25_12,
25_13,20400000_20400430
14_12,
38_09,
38_08,
38_07,
38_06,
02_06,1926820_1932388 -- 2260570_2260800
02_07,
45_07,
45_06,
45_09,
45_08,
06_06,13808080_13808990 -- 15848550_15848770 -- 6938060_6939040 -- 6939040_6940260 -- 15541670_15542990 -- 15848770_15851670 -- 15542990_15551480 -- 13808990_13837050
06_07,32134142_32140910 -- 28987512_29003830 -- 31541020_32134142 -- 40412160_40412350 -- 5792280_5792490 -- 40023820_40024860 -- 49194920_49913350 -- 42571710_42574280 -- 31540470_31541020 -- 30871034_30891140 -- 39359290_39593634 -- 12974620_12974690 -- 48629137_48639490 -- 38834761_39086260 -- 29462720_29464910 -- 32565330_32569460 -- 20177370_20179130 -- 40412350_40413790 -- 20176650_20177370 -- 28738160_28987512 -- 32565030_32565330 -- 30619960_30871034 -- 42571670_42571710 -- 39593634_39598230 -- 12974690_12982730 -- 5792490_5792600 -- 47127100_48629137 -- 38629210_38834761 -- 49161200_49194920 -- 32265100_32265530 -- 32265530_32266900 -- 29462520_29462720 -- 40023260_40023820
06_08,
06_09,
27_12,
27_13,
27_10,
27_11,
27_16,
27_17,
27_14,6168195_6170570 -- 6456165_6457000 -- 15903985_15905010
27_15,
04_08,
04_09,18900000_18901180 -- 33000000_33003990
04_06,22858910_22859056 -- 31690920_31693330 -- 42220750_42221610 -- 25697850_25700870 -- 12555140_12556904 -- 31690010_31690920 -- 3451400_3452670 -- 42690530_42691570 -- 12556904_12559640 -- 25697490_25697850 -- 41732968_41734690 -- 23097430_23099160 -- 23583410_23583630 -- 42221610_42223720 -- 3450270_3451400 -- 31828880_31829990 -- 22859056_22860960 -- 23096510_23097430 -- 41241180_41242430 -- 41732700_41732968 -- 23583630_25113660 -- 31826670_31828880 -- 41240720_41241180
04_07,
36_12,
35_15,
35_14,
35_17,
11_07,
35_11,
39_07,
35_13,2627360_2632160
35_12,
39_08,
39_09,
16_07,
16_06,
19_08,
19_09,
19_06,
19_07,
15_17,38591695_38592122 -- 38590840_38591695
15_16,
15_15,
15_14,
15_13,
15_12,
15_11,
15_10,
03_07,
03_06,
17_15,
17_14,
17_17,
17_16,
17_11,
17_10,
17_13,
17_12,
14_09,
14_08,
14_07,22686660_22690709 -- 9991140_9995930 -- 34924460_34928740 -- 23010190_23010528 -- 10811700_10811950 -- 22690709_22692190 -- 23010528_23012240 -- 34924300_34924460 -- 10811950_10813880 -- 9990720_9991140
14_06,25215230_25219900 -- 33611280_33611690 -- 23799311_23801700 -- 51297720_51302176 -- 12244500_12245100 -- 10576360_10577073 -- 34569095_34571320 -- 25211960_25215230 -- 33611690_33616060 -- 10577073_10578740 -- 23797940_23799311 -- 12245100_12246430 -- 34568050_34569095 -- 51302176_51313920
29_10,
29_11,
29_12,
29_13,
29_14,
29_15,
29_16,
29_17,
02_08,15371960_15373412 -- 38600850_38601000
02_09,20141710_20142000 -- 23738960_23742000
37_08,
37_09,
37_06,
37_07,
09_12,
09_13,
09_10,
09_11,
09_16,
09_17,
09_14,23701620_23703050
09_15,
23_09,
23_08,
07_10,
07_11,
07_12,
07_13,
07_14,
07_15,
07_16,
07_17,
36_07,
36_06,1199615_1200950
36_09,
36_08,
01_09,
01_08,26255280_26343610 -- 44866060_44867210 -- 26975341_27020070 -- 27503420_27503860 -- 11121390_11132812 -- 27503860_27505250 -- 26254110_26255280 -- 26619190_26731933 -- 26731933_26734920 -- 15599250_15600610 -- 11132812_11183950 -- 15598650_15599250 -- 44867210_44868230 -- 26974570_26975341
18_16,
18_17,
18_10,
18_11,
18_12,
18_13,
11_13,
11_12,39448050_39450610
11_11,
11_10,
11_17,6297130_6300585
11_16,
01_07,
01_06,
13_11,16584869_16997620
13_10,
13_13,
13_12,
13_15,
13_14,
13_17,
13_16,
42_17,
42_16,
42_15,
42_14,
42_13,
42_12,
42_11,
42_10,
22_17,
22_16,
38_12,43766625_43767900 -- 13969345_13973690
38_13,43952650_43953844
38_10,
38_11,
38_16,29365550_29366318 -- 27198030_27199830 -- 29761780_29763950 -- 29366318_29366818 -- 29366818_29367281
38_17,
38_14,
38_15,
45_12,
45_13,
45_10,
45_11,
45_16,
45_17,
45_14,
45_15,
20_17,
20_16,
20_15,
20_14,6443625_6446950
20_13,
20_12,
20_11,
20_10,
16_09,20317990_20319065
16_08,
10_07,
10_06,24987310_24988040 -- 33063130_33064190 -- 23670200_23670530 -- 24987170_24987310 -- 22467130_22580090 -- 22580090_22581370 -- 24784750_24785250 -- 33061090_33063130 -- 24785250_24786890 -- 31113530_31113630 -- 23669930_23670200 -- 31113630_31114490
22_15,
22_14,
10_09,
10_08,
22_11,
22_10,
22_13,
22_12,
35_06,33000410_33000589
35_07,40238600_40238860 -- 40435010_40435150
35_08,
35_09,
34_10,
40_09,
33_13,
33_12,
33_11,10213760_10214365
33_10,
33_17,
33_16,16957385_16958610
33_15,
33_14,7087670_7089888 -- 5181180_5182385 -- 7089888_7090758
15_06,19521490_19521700 -- 46355100_46356990 -- 13346870_13349220 -- 30029750_30030133 -- 51982490_51982690 -- 28629180_28633070 -- 30030133_30033100 -- 19521700_19524760 -- 7634570_7634750 -- 6584450_6586170 -- 13346460_13346870 -- 51982690_51985010 -- 51325510_51400567 -- 28628970_28629180 -- 46355030_46355100 -- 6586170_6590430 -- 7634750_7636430 -- 51400567_51422260
15_07,
15_08,
15_09,
17_08,
17_09,
03_14,
03_15,
03_16,
03_17,
03_10,
03_11,
03_12,
03_13,
40_15,
40_14,
40_17,
40_16,
34_09,0_100
40_10,
40_13,
40_12,
14_10,
14_11,11625400_11626989 -- 16312620_16313176 -- 42556350_42563532 -- 55033500_55115637 -- 54471650_54563130 -- 47148780_47226013
34_07,
34_06,
14_14,6013220_6028863
14_15,
14_16,
14_17,
16_11,
18_14,
18_15,
43_09,
43_08,
12_09,
12_08,
12_07,
12_06,33249072_33315760 -- 25120300_25270554 -- 35196670_35197276 -- 25939380_25943660 -- 33877573_33884550 -- 25935320_25939380 -- 44259540_44262720 -- 35197276_35201040 -- 25270554_25345210 -- 33248110_33249072 -- 35672930_35673077 -- 44262720_44266890 -- 25733970_25734730 -- 35673077_35675810 -- 33866350_33877573 -- 25734730_25931810 -- 25345210_25577640 -- 25577640_25583310
32_09,
32_08,23406180_23408680
32_07,
32_06,
26_11,
26_10,
26_13,
26_12,
26_15,
26_14,
26_17,
26_16,
11_15,
31_11,
31_10,
31_13,
31_12,
31_15,
31_14,12553018_12554960 -- 12551834_12553018 -- 37520450_37521607 -- 12549570_12551834
31_17,40501325_40501950
31_16,
11_14,
21_09,29106090_29106763 -- 32857059_32858080
21_08,
21_07,6732710_6733017 -- 36708510_36708871 -- 10211990_10212859 -- 20493030_20494350 -- 10212859_10214230 -- 6733017_6735990 -- 18784130_18785930 -- 20494350_20496390 -- 18782680_18784130 -- 36708871_36709390 -- 33591693_33594870 -- 33590860_33591693
21_06,
36_10,
36_11,
11_06,44497350_44497908
36_13,
36_14,
36_15,
36_16,21900140_21901310
36_17,
11_08,
11_09,28800000_28800690
01_12,
01_13,
01_10,
01_11,
01_16,
01_17,
01_14,
01_15,
42_08,34738660_34738741
42_09,
13_06,
13_07,
13_08,
13_09,12900000_12900260 -- 24900000_24947230
42_06,
42_07,41512480_41512993 -- 47721330_47726111
08_11,
08_10,
08_13,
08_12,
08_15,
08_14,
08_17,
08_16,0_0
35_16,
39_06,16511910_16515169
35_10,
46_13,
46_12,
46_11,
46_10,
46_17,11891010_11920201
46_16,
46_15,34919015_34921240 -- 18889665_18891020
46_14,
16_16,
16_17,
16_14,
16_15,
16_12,
16_13,
20_06,49514060_49514458 -- 52657650_52658314 -- 52658314_52667050 -- 48264790_48286437 -- 23401060_23402100 -- 14018709_14035850 -- 14012180_14018709 -- 23402100_23403460 -- 48286437_48289940 -- 49514458_49516210
20_07,
20_08,
20_09,
17_06,
17_07,
22_08,
22_06,
10_15,
10_16,
10_17,
10_10,25500000_25501140 -- 5400000_5404270 -- 29100000_29100440
10_11,
10_12,
10_13,
41_09,39646320_39648270 -- 3514095_3515090
41_08,
41_07,
41_06,
40_11,
34_08,
33_08,
33_09,10815460_10819131 -- 10819932_10820255 -- 8917775_8918313 -- 8916005_8917775 -- 10819131_10819932 -- 10838490_10841779 -- 8912370_8916005
33_06,
33_07,
41_16,
23_07,
23_06,
41_17,
28_17,
28_16,
28_15,31991430_31992782
28_14,19684105_19684780 -- 18912395_18913790 -- 19098175_19100360 -- 21560105_21561290
28_13,
28_12,
28_11,
28_10,
14_13,
30_07,
30_06,5535430_5540543
30_09,
30_08,
44_11,
44_10,
44_13,
44_12,
44_15,
44_14,903470_904195
44_17,
44_16,
43_07,52051960_52060095 -- 7009060_7010361
25_07,
25_06,
43_06,
25_09,12600000_13715110
25_08,
40_06,
40_07,25861790_25862765
34_16,
34_17,
34_14,
34_15,
34_12,
34_13,
40_08,
34_11,
43_10,
43_11,
43_12,
43_13,
43_14,
43_15,
43_16,
43_17,
12_12,
12_13,29657795_29661190 -- 27134965_27136160 -- 27294605_27295690
12_10,44669800_44675500 -- 4184479_4215660
12_11,
12_16,14804779_14808654 -- 7677834_7679034 -- 7676510_7677834 -- 14803380_14804779
12_17,22112579_22114750 -- 22111430_22112579 -- 22134969_22158290 -- 22114750_22114959
12_14,32254855_32256400 -- 32275295_32276620
12_15,
26_06,
26_07,
26_08,
26_09,
31_08,
31_09,39601040_39601670
31_06,
31_07,
06_17,
06_16,
06_15,
06_14,
06_13,
06_12,
06_11,
06_10,
21_10,
21_11,
21_12,
21_13,
21_14,
21_15,
21_16,
21_17,12717465_12719750
27_09,
27_08,
32_16,
32_17,
32_10,
32_11,
32_12,
32_13,
27_07,
27_06,
16_10,
04_15,
04_14,20060480_20061455 -- 20668040_20677385 -- 19799310_19800195 -- 19800195_19800460
04_17,
04_16,
04_11,30245320_30246516
04_10,
04_13,
04_12,
39_11,
39_10,
39_13,
39_12,
39_15,
39_14,
39_17,
39_16,
32_14,
32_15,
19_13,9736895_9751120
