file,sparse_code_time
35_14,41611430
19_11,43317110
32_09,57599990
06_13,57599990
10_12,57599990
29_07,47564050
45_12,44279490
36_13,38509740
21_11,37558430
15_11,57599990
19_08,43457050
02_06,57599990
14_08,57599990
33_17,47052240
13_15,46973680
07_16,46412740
32_12,57599990
39_12,44607430
39_07,39238110
40_13,57599990
14_11,57599990
43_16,45871800
40_12,57599990
15_17,57599990
39_10,47063240
28_14,37234740
41_09,57599990
34_07,57599990
04_08,48145860
42_11,57599990
17_16,57599990
09_16,32445050
23_17,57599990
12_06,57600140
30_13,57599990
40_17,52070800
15_10,57599990
09_08,42479680
15_12,57599990
44_16,37327860
22_06,52623360
41_06,57599990
34_13,26507430
27_16,57599990
39_13,24274240
13_17,57599990
34_08,57599990
39_08,46269729
23_15,57599990
16_13,57599990
23_10,57599990
18_14,45268550
36_10,43905990
04_16,39283180
09_07,57600140
21_14,19820360
12_09,57599990
04_07,44725110
35_12,48103180
29_08,56723550
21_13,36735990
04_11,35310800
32_06,57599990
17_10,57599990
14_07,57600140
02_09,57599990
34_14,29208240
19_07,39365180
08_14,57599990
27_08,57599990
03_10,57599990
20_15,57599990
08_13,57599990
31_06,57599990
44_08,43622180
34_15,24832490
37_10,57599990
09_10,57599990
17_07,57599990
01_09,57599990
25_11,42153490
21_06,51258740
37_08,57599990
10_17,57599990
26_13,57599990
42_06,57599990
16_14,57599990
11_09,43623680
07_07,57599990
14_15,57599990
27_11,57599990
44_11,45651550
37_07,57599990
42_09,57599990
21_09,50905800
28_12,44743050
06_11,57599990
10_11,49721610
19_16,42005860
46_13,44573740
28_13,39712050
20_17,57599990
14_16,57599990
07_08,51990550
18_10,46896300
11_06,44497908
29_13,40857740
13_12,32644110
09_15,35269430
04_13,39835800
31_09,57599990
43_12,41274300
44_07,39724680
36_14,42777610
27_07,57599990
16_10,57599990
01_06,57599990
10_15,57599990
17_08,57599990
41_10,57599990
45_13,48841800
09_12,54296008
35_13,34432240
45_17,33981490
17_06,57599990
01_08,57600140
26_17,57599990
12_16,34462430
06_15,57599990
20_14,57599990
08_12,57599990
27_09,57599990
21_10,41977430
28_11,38447740
44_09,40095360
15_13,57599990
36_11,43525110
31_07,57599990
35_11,38869490
11_08,43939930
16_15,57599990
02_16,57599990
31_16,57599990
36_17,43116680
07_06,57600140
11_10,42692800
33_13,45410110
13_11,44433300
07_10,42733990
03_11,57599990
21_07,41619800
42_07,57599990
31_13,57599990
37_09,57599990
40_11,57599990
06_14,57599990
23_13,57599990
07_09,57599990
20_12,57599990
11_07,44905610
06_12,57599990
42_08,57599990
37_06,57599990
26_15,57599990
06_17,52485050
21_08,46068110
29_10,46825800
29_12,45113990
01_07,57599990
17_09,57599990
10_14,57599990
39_11,32401430
39_14,39575930
13_13,40882180
43_14,43156180
27_10,57599990
16_17,57599990
36_15,43128180
44_06,57599990
22_16,43989990
31_08,57599990
41_16,57599990
27_06,57599990
19_09,42514800
22_11,48045740
02_07,57599990
13_14,43796300
14_09,57599990
32_08,57599990
12_10,57599990
35_15,37675360
21_16,41449550
42_16,57599990
38_15,55758110
18_17,37599550
29_06,50684930
03_14,57599990
04_09,38565360
12_07,57599990
30_11,57599990
25_13,46201550
09_09,31083799
17_12,57599990
39_15,37315610
16_11,57599990
30_10,57599990
39_06,40401490
08_17,57599990
30_12,57599990
28_15,34082430
34_06,57599990
46_15,39114490
41_08,57599990
22_08,50660180
19_10,52186300
29_16,44095990
38_17,50398300
18_15,41530180
34_12,26857990
09_06,57600140
35_17,43586680
15_15,57599990
01_16,57599990
12_08,57599990
04_06,42691570
22_07,51739680
04_14,44969740
34_09,57599990
33_14,50536300
41_07,57599990
34_17,30687990
02_11,57599990
16_12,57599990
39_09,43439034
14_06,57599990
25_10,46080740
46_17,40864240
03_13,57599990
11_16,50710800
25_17,37959800
02_08,57599990
