file,problem_timestamps
26_06,
26_07,
21_07,
21_06,
11_06,44497350_44497908
11_07,
31_06,
31_07,
38_07,
38_06,
13_06,
13_07,
42_06,
42_07,41512480_41512993 -- 47721330_47726111
45_07,
45_06,
27_07,
27_06,
06_06,
06_07,12974620_12974690
04_06,
04_07,
16_07,
16_06,
