file,total,subregion,silence,skip,end_stamp_lenacha,sum_stamp_lenacha,end_stamp_sparsecode,sum_stamp_sparsecode,wav_time
29_07,47457574,0,5388306,0,47564050,47564050,47564050,47451214,47564187.5
02_06,57660582,0,26020406,22929630,57599990,57599990,57599990,57662842,57600125.0
08_06,57397213,0,17005025,27892256,57599990,57599990,57599990,57606460,57600125.0
39_07,39243659,0,0,2232270,39238110,39238110,39238110,39244319,39238250.0
34_07,57578129,0,15799701,21298500,57599990,57599990,57599990,57579169,57600125.0
22_06,52448101,0,10885443,12568264,52623360,52623360,52623360,52448101,52623500.0
41_06,57648204,0,18507694,1975316,57599990,57599990,57599990,57648204,57600125.0
04_07,44728890,0,8054630,2206240,44725110,44725110,44725110,44733620,44725250.0
32_06,57454666,0,18788402,1183490,57599990,57599990,57599990,57454666,57600125.0
19_07,39349746,0,3717170,8295533,39365180,39365180,39365180,39352656,39365312.5
31_06,57432540,0,27222896,434600,57599990,57599990,57599990,57432540,57600125.0
17_07,57609510,0,24325508,0,57599990,57599990,57599990,57609510,57600125.0
21_06,51230792,0,9139826,13619827,51258740,51258740,51258740,51230792,51258875.0
42_06,57640318,0,15457964,1423560,57599990,57599990,57599990,57640318,57600125.0
07_07,57602800,0,520660,16020520,57599990,57599990,57599990,57599630,57600125.0
37_07,57261952,0,21690048,1218917,57599990,57599990,57599990,57263152,57600125.0
14_07,57596176,0,23816159,8985621,57599990,57599990,57599990,57599230,57600125.0
11_06,44484997,0,5814029,4790261,44498430,44498430,44497908,44484997,44498562.5
09_07,55069405,0,23216560,1759732,57599990,57599990,57599990,57599990,57600125.0
44_07,37295509,0,13169987,0,39724680,39724680,39724680,37295509,39724812.5
27_07,57419180,0,18121372,449680,57599990,57599990,57599990,57429710,57600125.0
01_06,57582334,0,21094544,2641606,57599990,57599990,57599990,57582334,57600125.0
17_06,57593036,0,26339548,7037248,57599990,57599990,57599990,57593036,57600125.0
31_07,57550570,0,23006320,2172650,57599990,57599990,57599990,57550570,57600125.0
42_07,57688008,0,18326484,4815750,57599990,57599990,57599990,57698908,57600125.0
11_07,44886714,0,10101266,0,44905610,44905610,44905610,44887134,44905750.0
37_06,57580751,0,28026089,1343790,57599990,57599990,57599990,57580751,57600125.0
01_07,57710149,0,22273561,1847610,57599990,57599990,57599990,57680739,57600125.0
06_07,56747654,0,33903478,3597660,57599990,57599990,57599990,57644530,57600125.0
44_06,56882434,0,28650786,3016900,57599990,57599990,57599990,56882434,57600125.0
