file,problem_timestamps
26_06,7429100_7430820 -- 33620830_33621630 -- 16380910_16389880 -- 45464810_45466960 -- 25106800_25177430
26_07,21919560_21922850 -- 43328300_43329970 -- 43513610_43515210 -- 13445640_13446640 -- 41787460_41788770 -- 3818300_3824500 -- 31154810_31156100
21_07,
21_06,44984580_45003170 -- 11525840_11526280 -- 5827700_5831760 -- 30082610_30096430 -- 46370010_46370290 -- 32147130_32155460
11_06,29361470_29363750 -- 28853870_28855540 -- 6679660_6683520 -- 24536400_24540190 -- 23576600_23577670 -- 13842770_13845810 -- 29948670_29953080 -- 29759490_29761620 -- 16145010_16149130 -- 44497350_44498430
11_07,25968270_25969320 -- 38168190_38168990 -- 18423600_18424820 -- 11276330_11278390 -- 25747070_25749270 -- 24625160_24625960 -- 34797330_34802270 -- 17819640_17821080 -- 26711170_26712320 -- 22455190_22457680 -- 22432470_22433270 -- 27962400_27963720 -- 6789620_6802560 -- 22964800_22976500
31_06,41015330_41017040 -- 39019390_39109100 -- 8811990_8812680 -- 41788000_41788820 -- 23837850_23842700 -- 41860540_41861930 -- 47374890_47484610 -- 40983490_40984310 -- 46919110_46921600
31_07,6756680_6758680 -- 28136720_28137710 -- 14327720_14328520 -- 46161420_46162230 -- 24120630_24187870
38_07,34077150_34078820 -- 8508300_8511250 -- 32331910_32333160 -- 14275980_14278600 -- 31235550_31237070
38_06,33882630_33887930 -- 17245370_17258120 -- 18611610_18614570 -- 34303500_34324490
13_06,6136750_6137750 -- 5880640_5882070 -- 28021920_28025230 -- 11286570_11523380 -- 33029890_33030640 -- 6156030_6157480
13_07,563740_569720 -- 24696380_24787240 -- 121890_122720 -- 15511410_15512260 -- 6229720_6230520
42_06,48280840_48356330 -- 26486970_26487970 -- 9508920_9509720 -- 13346710_13348520 -- 28789130_28790630
42_07,37529700_37530760 -- 32510470_32512350 -- 47721330_47726610 -- 41512480_41513370 -- 18734940_18744220 -- 23264420_23265770 -- 50018930_50019980 -- 40541220_40542380 -- 39336370_39339520
45_07,15029240_15030190 -- 20019290_20021360 -- 2812900_2818450 -- 7028820_7033730 -- 37607550_37608710
45_06,29387230_29387370 -- 34692810_34702260 -- 24050750_24051770 -- 21772740_21778790 -- 11296020_11298100 -- 4531910_4534460 -- 30354960_30358480
27_07,53572780_53755880 -- 42144430_42147220 -- 21439530_21445780 -- 44694740_44698100 -- 11620580_11621640 -- 41991160_41991680 -- 474980_482960 -- 21040370_21089730
27_06,48684150_48686700 -- 50462980_50801190 -- 50052930_50054090 -- 10253890_10260640 -- 10458390_10463650 -- 16765900_16770510 -- 25981190_25982200 -- 46064520_46071450 -- 7838050_7845860 -- 28923580_28929550 -- 49575230_49591020
06_06,
06_07,12974620_12979860 -- 1868160_1868410
04_06,
04_07,21193720_21197500 -- 15274670_15275390 -- 2798470_2799270 -- 661970_663000
16_07,357840_455570 -- 11427010_11431470 -- 470060_687280 -- 23487360_23488360 -- 19746740_19755530 -- 6173650_6185860 -- 39385850_39386650
16_06,20595180_20596300 -- 26494380_26495010 -- 12107760_12109130 -- 7213280_7214080
