file,end_stamp_lenacha,sum_stamp_lenacha
01_06,57599990,57599990
01_07,57599990,57599990
02_06,57599990,57599990
02_07,57599990,57599990
03_06,57599990,57599990
03_07,57599990,57599990
04_06,42691430,42691430
04_07,44725110,44725110
06_06,40898490,40898490
06_07,57599990,57599990
07_06,57599990,57599990
07_07,57599990,57599990
08_06,57599990,57599990
08_07,57599990,57599990
09_06,57599990,57599990
09_07,57599990,57599990
10_06,43144990,43144990
10_07,46407610,46407610
11_06,44498430,44498430
11_07,44905610,44905610
12_06,57599990,57599990
12_07,57599990,57599990
13_06,41510930,41510930
13_07,43241050,43241050
14_06,57599990,57599990
14_07,57599990,57599990
15_06,57599990,57599990
15_07,57599990,57599990
16_06,57599990,57599990
16_07,57599990,57599990
17_06,57599990,57599990
17_07,57599990,57599990
18_06,51597740,51597740
18_07,45730680,45730680
19_06,42887180,42887180
19_07,39365180,39365180
20_06,57599990,57599990
20_07,57599990,57599990
21_06,51258740,51258740
21_07,41619800,41619800
22_06,52623360,52623360
22_07,51739680,51739680
23_06,57599990,57599990
23_07,57599990,57599990
24_06,57599990,57599990
25_06,45968180,45968180
25_07,41390930,41390930
26_06,57599990,57599990
26_07,57599990,57599990
27_06,57599990,57599990
27_07,57599990,57599990
28_06,43519680,43519680
28_07,43913550,43913550
29_06,50684930,50684930
29_07,47564050,47564050
30_06,57599990,57599990
30_07,57599990,57599990
31_06,57599990,57599990
31_07,57599990,57599990
32_06,57599990,57599990
32_07,57599990,57599990
33_06,48023050,48023050
33_07,48075050,48075050
34_06,57599990,57599990
34_07,57599990,57599990
35_06,42426300,42426300
35_07,42428610,42428610
36_06,40341610,40341610
36_07,47045550,47045550
37_06,57599990,57599990
37_07,57599990,57599990
38_06,47362050,47362050
38_07,46490990,46490990
39_06,40401490,40401490
39_07,39238110,39238110
40_06,46178300,46178300
40_07,57599990,57599990
41_06,57599990,57599990
41_07,57599990,57599990
42_06,57599990,57599990
42_07,57599990,57599990
43_06,38401490,38401490
43_07,54478240,54478240
44_06,57599990,57599990
44_07,39724680,39724680
45_06,45795990,45795990
45_07,38100930,38100930
46_06,40291490,40291490
46_07,38550240,38550240
