file,sparse_code_time,wav_time,diff
35_14,41611430,41611562.5,132.5
19_11,43317110,43317250.0,140.0
32_09,57599990,57600125.0,135.0
06_13,57599990,57600125.0,135.0
10_12,57599990,57600125.0,135.0
29_07,47564050,47564187.5,137.5
45_12,44279490,44279625.0,135.0
36_13,38509740,38509875.0,135.0
21_11,37558430,37558562.5,132.5
15_11,57599990,57600125.0,135.0
19_08,43457050,43457187.5,137.5
02_06,57599990,57600125.0,135.0
14_08,57599990,57600125.0,135.0
33_17,47052240,47052375.0,135.0
13_15,46973680,46973812.5,132.5
07_16,46412740,46412875.0,135.0
32_12,57599990,57600125.0,135.0
39_12,44607430,44607562.5,132.5
39_07,39238110,39238250.0,140.0
40_13,57599990,57600125.0,135.0
14_11,57599990,57600125.0,135.0
43_16,45871800,45871937.5,137.5
40_12,57599990,57600125.0,135.0
15_17,57599990,57600125.0,135.0
39_10,47063240,47063375.0,135.0
28_14,37234740,37234875.0,135.0
41_09,57599990,57600125.0,135.0
34_07,57599990,57600125.0,135.0
04_08,48145860,48146000.0,140.0
42_11,57599990,57600125.0,135.0
17_16,57599990,57600125.0,135.0
09_16,32445050,32445187.5,137.5
23_17,57599990,57600125.0,135.0
12_06,57600140,57600125.0,15.0
30_13,57599990,57600125.0,135.0
40_17,52070800,52070937.5,137.5
15_10,57599990,57600125.0,135.0
09_08,42479680,42479812.5,132.5
15_12,57599990,57600125.0,135.0
44_16,37327860,37328000.0,140.0
22_06,52623360,52623500.0,140.0
41_06,57599990,57600125.0,135.0
34_13,26507430,26507562.5,132.5
27_16,57599990,57600125.0,135.0
39_13,24274240,24274375.0,135.0
13_17,57599990,57600125.0,135.0
34_08,57599990,57600125.0,135.0
39_08,46269729,46272500.0,2771.0
23_15,57599990,57600125.0,135.0
16_13,57599990,57600125.0,135.0
23_10,57599990,57600125.0,135.0
18_14,45268550,45268687.5,137.5
36_10,43905990,43906125.0,135.0
04_16,39283180,39283312.5,132.5
09_07,57600140,57600125.0,15.0
21_14,19820360,19820500.0,140.0
12_09,57599990,57600125.0,135.0
04_07,44725110,44725250.0,140.0
35_12,48103180,48103312.5,132.5
29_08,56723550,56723687.5,137.5
21_13,36735990,36736125.0,135.0
04_11,35310800,35310937.5,137.5
32_06,57599990,57600125.0,135.0
17_10,57599990,57600125.0,135.0
14_07,57600140,57600125.0,15.0
02_09,57599990,57600125.0,135.0
34_14,29208240,29208375.0,135.0
