file,wav_time
21_06,51258875.0
21_16,41449687.5
21_15,45123937.5
21_13,36736125.0
21_08,46068250.0
21_10,41977562.5
21_07,41619937.5
21_12,30455000.0
21_14,19820500.0
21_09,50905937.5
21_17,37170562.5
21_11,37558562.5
12_12,57600125.0
12_13,44411062.5
12_17,57600000.0
12_16,34462562.5
12_07,57600125.0
12_08,57600125.0
12_06,57600125.0
12_14,57600125.0
12_11,57600125.0
12_10,57600125.0
12_09,57600125.0
12_15,52062750.0
19_11,43317250.0
19_10,52186437.5
19_07,39365312.5
19_16,42006000.0
19_13,46374437.5
19_14,42710437.5
19_15,40220250.0
19_08,43457187.5
19_12,46277750.0
19_17,39957750.0
19_06,42887312.5
19_09,42514937.5
24_06,57600125.0
39_12,44607562.5
39_15,37315750.0
39_08,46272500.0
39_11,32401562.5
39_16,42807625.0
39_13,24274375.0
39_06,40401625.0
39_17,35149937.5
39_14,39576062.5
39_10,47063375.0
39_07,39238250.0
39_09,43439687.5
25_12,37015562.5
25_13,46201687.5
25_10,46080875.0
25_17,37959937.5
25_08,23416312.5
25_14,40839187.5
25_11,42153625.0
25_07,41391062.5
25_06,45968312.5
25_09,42845375.0
25_15,36536062.5
25_16,44355000.0
08_13,57600125.0
08_06,57600125.0
08_08,57600125.0
08_14,57600125.0
08_07,57600125.0
08_16,57600125.0
08_10,57600125.0
08_17,57600125.0
08_12,57600125.0
08_11,57600125.0
08_09,57600125.0
08_15,57600125.0
14_12,57600125.0
14_06,57600125.0
14_13,57600125.0
14_08,57600125.0
14_15,57600125.0
14_14,57600125.0
14_09,57600125.0
14_17,57600125.0
14_07,57600125.0
14_16,57600125.0
14_11,57600125.0
14_10,57600125.0
29_17,38613187.5
29_11,36951250.0
29_06,50685062.5
29_10,46825937.5
29_16,44096000.0
29_12,45114125.0
29_13,40857875.0
29_09,43515062.5
29_07,47564187.5
29_15,41636437.5
29_08,56723687.5
29_14,35809250.0
43_11,47892937.5
43_12,41274437.5
43_06,38401625.0
43_14,43156312.5
43_15,42475000.0
43_17,47250500.0
43_16,45871937.5
43_08,45837937.5
43_09,56999000.0
43_07,54478375.0
43_13,45180750.0
43_10,50684625.0
13_14,43796437.5
13_13,40882312.5
13_10,44742375.0
13_08,43522625.0
13_11,44433437.5
13_15,46973812.5
13_09,47354437.5
13_12,32644250.0
13_16,28315000.0
13_06,41511062.5
13_17,57600125.0
13_07,43241187.5
31_06,57600125.0
31_10,57600125.0
31_12,57600125.0
31_07,57600125.0
31_09,57600125.0
31_14,57600125.0
31_15,57600125.0
31_13,57600125.0
31_11,57600125.0
31_08,57600125.0
31_17,57600125.0
31_16,57600125.0
36_08,40573000.0
36_15,43128312.5
36_13,38509875.0
36_09,41777062.5
36_07,47045687.5
36_17,43116812.5
36_16,43724437.5
36_11,43525250.0
36_10,43906125.0
36_06,40341750.0
36_12,43534000.0
36_14,42777750.0
20_16,57600125.0
20_09,57600125.0
20_10,57600125.0
20_07,57600125.0
20_14,57600125.0
20_06,57600125.0
20_17,57600125.0
20_08,57600125.0
20_12,57600125.0
20_13,57600125.0
20_11,57600125.0
20_15,57600125.0
18_08,46907125.0
18_12,44950375.0
18_15,41530312.5
18_17,37599687.5
18_14,45268687.5
18_16,47516687.5
18_13,46393500.0
18_11,55279125.0
18_06,51597875.0
18_07,45730812.5
18_09,43822125.0
18_10,46896437.5
38_17,50398437.5
38_11,48470562.5
38_06,47362187.5
38_08,43651437.5
38_16,48058500.0
38_15,55758250.0
38_09,48847875.0
38_07,46491125.0
38_14,46643687.5
38_12,47071125.0
38_13,46946062.5
38_10,57600125.0
35_13,34432375.0
35_12,48103312.5
35_15,37675500.0
35_11,38869625.0
35_08,43294750.0
35_07,42428750.0
35_14,41611562.5
35_10,43794750.0
35_09,40255312.5
35_16,47357250.0
35_17,43586812.5
35_06,42426437.5
41_09,57600125.0
41_11,57600125.0
41_13,57600125.0
41_07,57600125.0
41_14,57600125.0
41_15,57600125.0
41_17,57600125.0
41_08,57600125.0
41_16,57600125.0
41_06,57600125.0
41_10,57600125.0
41_12,57600125.0
16_11,57600125.0
16_13,57600125.0
16_07,57600125.0
16_09,57600125.0
16_06,57600125.0
16_16,57600125.0
16_15,57600125.0
16_14,57600125.0
16_12,57600125.0
16_17,57600125.0
16_10,57600125.0
16_08,57600125.0
17_09,57600125.0
17_13,57600125.0
17_17,57600125.0
17_08,57600125.0
17_10,57600125.0
17_14,57600125.0
17_15,57600125.0
17_06,57600125.0
17_12,57600125.0
17_11,57600125.0
17_16,57600125.0
17_07,57600125.0
33_10,46389937.5
33_11,48073937.5
33_14,50536437.5
33_08,46473062.5
33_15,37160937.5
33_06,48023187.5
33_07,48075187.5
33_09,49173562.5
33_16,34254812.5
33_17,47052375.0
33_12,45692312.5
33_13,45410250.0
01_12,57600125.0
01_08,57600125.0
01_08,57600125.0
01_10,57600125.0
01_14,57600125.0
01_06,57600125.0
01_09,57600125.0
01_16,57600125.0
01_15,57600125.0
01_17,57600125.0
01_07,57600125.0
01_13,57600125.0
01_11,57600125.0
34_09,57600125.0
34_07,57600125.0
34_15,24832625.0
34_17,30688125.0
34_16,29700125.0
34_10,57600125.0
34_12,26858125.0
34_14,29208375.0
34_08,57600125.0
34_06,57600125.0
34_11,31492000.0
34_13,26507562.5
06_10,57600125.0
06_13,57600125.0
06_08,44651000.0
06_17,42292637.875
06_12,57600125.0
06_06,40898625.0
06_11,57600125.0
06_09,50454000.0
06_16,57600125.0
06_07,57600125.0
06_14,57600125.0
06_15,57600125.0
22_11,48045875.0
22_08,50660312.5
22_16,43990125.0
22_15,43061062.5
22_13,40741187.5
22_10,50888812.5
22_06,52623500.0
22_07,51739812.5
22_17,42826812.5
22_14,41746437.5
22_12,47469000.0
10_08,57600125.0
10_11,49721750.0
10_10,57600125.0
10_12,57600125.0
10_07,46407750.0
10_14,57600125.0
10_15,57600125.0
10_06,43145125.0
10_17,57600125.0
10_09,57600125.0
10_16,57600125.0
10_13,57600125.0
09_12,57600125.0
09_15,35269562.5
09_10,57600125.0
09_14,57600125.0
09_17,39915125.0
09_06,57600125.0
09_11,57600125.0
09_08,42479812.5
09_13,57600125.0
09_09,31083937.5
09_07,57600125.0
09_16,32445187.5
02_14,57600125.0
02_07,57600125.0
02_12,57600125.0
02_13,57600125.0
02_17,57600125.0
02_16,57600125.0
02_11,57600125.0
02_08,57600125.0
02_10,57600125.0
02_09,57600125.0
02_15,57600125.0
02_06,57600125.0
44_07,39724812.5
44_17,33606000.0
44_16,37328000.0
44_09,40095500.0
44_10,57600125.0
44_08,43622312.5
44_11,45651687.5
44_13,46806375.0
44_15,33907562.5
44_12,41403937.5
44_06,57600125.0
44_14,40144187.5
46_17,40864375.0
46_14,38562750.0
46_07,38550375.0
46_06,40291625.0
46_09,40520937.5
46_08,38245750.0
46_16,39534000.0
46_12,39271687.5
46_11,57600125.0
46_13,44573875.0
46_15,39114625.0
46_10,39422687.5
23_11,57600125.0
23_10,57600125.0
23_16,57600125.0
23_13,57600125.0
23_15,57600125.0
23_07,57600125.0
23_14,57600125.0
23_17,57600125.0
23_06,57600125.0
23_08,57600125.0
23_12,57600125.0
23_09,57600125.0
40_12,57600125.0
40_08,57600125.0
40_14,49624437.5
40_07,57600125.0
40_15,57600125.0
40_16,57600125.0
40_06,46178437.5
40_09,57600125.0
40_10,57600125.0
40_11,57600125.0
40_13,57600125.0
40_17,52070937.5
27_09,57600125.0
27_06,57600125.0
27_08,57600125.0
27_14,57600125.0
27_16,57600125.0
27_11,57600125.0
27_13,57600125.0
27_12,57600125.0
27_17,57600125.0
27_15,57600125.0
27_10,57600125.0
27_07,57600125.0
11_07,44905750.0
11_12,48271687.5
11_08,43940062.5
11_06,44498562.5
11_11,44983875.0
11_16,50710937.5
11_09,43623812.5
11_17,41744875.0
11_15,42429500.0
11_10,42692937.5
11_14,44120562.5
11_13,50807500.0
07_06,57600125.0
07_13,31616250.0
07_17,44989062.5
07_11,57600125.0
07_07,57600125.0
07_15,39124687.5
07_10,42734125.0
07_08,51990687.5
07_12,29588875.0
07_16,46412875.0
07_09,57600125.0
07_14,34460875.0
15_12,57600125.0
15_07,57600125.0
15_10,57600125.0
15_09,57600125.0
15_11,57600125.0
15_13,57600125.0
15_14,57600125.0
15_08,57600125.0
15_17,57600125.0
15_16,57600125.0
15_15,57600125.0
15_06,57600125.0
04_06,42691562.5
04_08,48146000.0
04_10,46409312.5
04_15,46066437.5
04_07,44725250.0
04_13,39835937.5
04_16,39283312.5
04_12,37875750.0
04_09,38565500.0
04_11,35310937.5
04_14,44969875.0
04_17,41833250.0
37_14,57600125.0
37_06,57600125.0
37_07,57600125.0
37_08,57600125.0
37_16,57600125.0
37_13,57600125.0
37_17,57600125.0
37_09,57600125.0
37_10,57600125.0
37_15,57600125.0
37_12,57600125.0
37_11,57600125.0
32_06,57600125.0
32_10,57600125.0
32_12,57600125.0
32_07,57600125.0
32_16,57600125.0
32_14,57600125.0
32_08,57600125.0
32_09,57600125.0
32_11,57600125.0
32_15,57600125.0
32_13,57600125.0
32_17,57600125.0
30_11,57600125.0
30_16,57600125.0
30_17,57600125.0
30_09,57600125.0
30_06,57600125.0
30_13,57600125.0
30_14,57600125.0
30_10,57600125.0
30_07,57600125.0
30_15,57600125.0
30_08,57600125.0
30_12,57600125.0
26_15,57600125.0
26_08,57600125.0
26_12,57600125.0
26_14,57600125.0
26_09,57600125.0
26_13,57600125.0
26_10,57600125.0
26_11,57600125.0
26_17,57600125.0
26_07,57600125.0
26_16,57600125.0
26_06,57600125.0
42_11,57600125.0
42_13,57600125.0
42_15,57600125.0
42_06,57600125.0
42_08,57600125.0
42_09,57600125.0
42_17,57600125.0
42_14,57600125.0
42_07,57600125.0
42_12,57600125.0
42_16,57600125.0
42_10,57600125.0
28_11,38447875.0
28_16,39999812.5
28_10,47159250.0
28_08,40687125.0
28_06,43519812.5
28_07,43913687.5
28_13,39712187.5
28_09,50720750.0
28_14,37234875.0
28_12,44743187.5
28_17,57600125.0
28_15,34082562.5
03_11,57600125.0
03_13,57600125.0
03_08,57600125.0
03_10,57600125.0
03_17,57600125.0
03_14,57600125.0
03_16,57600125.0
03_12,57600125.0
03_15,57600125.0
03_06,57600125.0
03_09,57600125.0
03_07,57600125.0
45_13,48841937.5
45_15,41708750.0
45_08,50055437.5
45_12,44279625.0
45_10,57600125.0
45_07,38101062.5
45_16,40858812.5
45_11,57600125.0
45_14,45346375.0
45_06,45796125.0
45_09,50457875.0
45_17,33981625.0
